Country,Year,IDH,Host,Women,Gobierno,Logpop,Last,Medals
USA,2004,0.895,0,254,0,8.467,90,101
AUS,2008,0.92,0,199,0,7.327,50,46
BRA,2008,0.716,0,129,0,8.283,10,16
CAN,2008,0.899,0,146,0,7.522,12,20
CHN,2008,0.685,1,288,1,9.122,63,100
CUB,2008,0.78,0,56,1,7.051,27,29
ESP,2008,0.856,0,120,0,7.662,20,19
ETH,2008,0.394,0,13,0,7.919,7,7
FRA,2008,0.878,0,121,0,7.809,33,43
GBR,2008,0.896,0,141,0,7.791,30,49
GER,2008,0.917,0,183,0,7.914,49,41
GRE,2008,0.857,0,70,0,7.044,16,3
HUN,2008,0.818,0,83,0,7.002,17,10
IRI,2008,0.741,0,3,0,7.858,6,2
ITA,2008,0.868,0,130,0,7.77,32,27
JAM,2008,0.708,0,27,0,6.444,5,10
JPN,2008,0.881,0,165,0,8.107,37,25
KEN,2008,0.523,0,18,0,7.6,8,16
KOR,2008,0.874,0,106,0,7.691,30,32
MEX,2008,0.742,0,40,0,8.045,4,4
NED,2008,0.906,0,98,0,7.216,22,16
NOR,2008,0.938,0,54,0,6.678,6,9
NZL,2008,0.894,0,82,0,6.629,5,9
PRK,2008,0.6,0,37,1,7.386,5,6
ROU,2008,0.795,0,61,0,7.313,19,9
RUS,2008,0.774,0,223,1,8.155,90,60
THA,2008,0.714,0,25,0,7.823,8,6
TUR,2008,0.71,0,19,0,7.848,11,1
USA,2008,0.91,0,282,0,8.483,101,98
AUS,2012,0.899,0,185,0,7.357,46,35
BRA,2012,0.736,0,117,0,8.299,16,17
CAN,2012,0.908,0,154,0,7.541,20,18
CHN,2012,0.722,0,215,1,9.131,100,91
CUB,2012,0.767,0,44,1,7.051,29,15
ESP,2012,0.873,0,111,0,7.67,19,18
ETH,2012,0.43,0,15,0,7.967,7,8
FRA,2012,0.886,0,142,0,7.817,43,35
GBR,2012,0.898,1,257,0,7.804,49,65
GER,2012,0.928,0,171,0,7.905,41,44
GRE,2012,0.854,0,37,0,7.043,3,2
HUN,2012,0.83,0,59,0,6.997,10,18
IRI,2012,0.781,0,8,0,7.878,2,13
ITA,2012,0.874,0,123,0,7.775,27,28
JAM,2012,0.721,0,22,0,6.454,10,12
JPN,2012,0.895,0,156,0,8.106,25,38
KEN,2012,0.559,0,20,0,7.647,16,13
KOR,2012,0.89,0,115,0,7.701,32,30
MEX,2012,0.757,0,37,0,8.069,4,8
NED,2012,0.921,0,79,0,7.224,16,20
NOR,2012,0.942,0,28,0,6.701,9,4
NZL,2012,0.905,0,82,0,6.644,9,13
PRK,2012,0.6,0,37,1,7.394,6,6
ROU,2012,0.795,0,50,0,7.302,9,9
RUS,2012,0.798,0,226,1,8.156,60,68
THA,2012,0.731,0,18,0,7.831,6,4
TUR,2012,0.76,0,64,0,7.873,1,3
USA,2012,0.918,0,268,0,8.497,98,104
AUS,2016,0.938,0,212,0,7.384,35,29
BRA,2016,0.758,1,207,0,8.314,17,19
CAN,2016,0.922,0,183,0,7.558,18,22
CHN,2016,0.748,0,241,1,9.139,91,70
CUB,2016,0.774,0,34,1,7.054,15,11
ESP,2016,0.889,0,143,0,7.667,18,17
ETH,2016,0.457,0,20,0,8.015,8,8
FRA,2016,0.899,0,167,0,7.824,35,42
GBR,2016,0.92,0,159,0,7.817,65,67
GER,2016,0.934,0,194,0,7.916,44,42
GRE,2016,0.868,0,36,0,7.032,2,6
HUN,2016,0.835,0,70,0,6.992,18,15
IRI,2016,0.796,0,9,0,7.901,13,8
ITA,2016,0.878,0,141,0,7.783,28,28
JAM,2016,0.732,0,31,0,6.463,12,11
JPN,2016,0.907,0,164,0,8.104,38,41
KEN,2016,0.585,0,33,0,7.691,13,13
KOR,2016,0.9,0,104,0,7.709,30,21
MEX,2016,0.772,0,44,0,8.091,8,5
NED,2016,0.928,0,132,0,7.231,20,19
NOR,2016,0.951,0,33,0,6.719,4,4
NZL,2016,0.915,0,97,0,6.671,13,18
PRK,2016,0.625,0,20,1,7.403,6,7
ROU,2016,0.807,0,61,0,7.295,9,4
RUS,2016,0.815,0,142,1,8.159,68,56
THA,2016,0.748,0,28,0,7.839,4,6
TUR,2016,0.787,0,47,0,7.902,3,8
USA,2016,0.922,0,291,0,8.509,104,121
